"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Some sparks to light up the debate, was beginning to doze!#UgDebate16",FALSE,0,NA,2016-02-13 19:20:37,FALSE,NA,"698587597904486405",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","NabaasaDanM",0,FALSE,FALSE,NA,NA
"2","Are Ugandans subjects or citizens@ShakaSsali#UGDebate16",FALSE,0,NA,2016-02-13 19:20:37,FALSE,NA,"698587597849886720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jdiana956",0,FALSE,FALSE,NA,NA
"3","RT @SarahBireete: #UGDebate16 @AmamaMbabazi decision of ICJ was based on evidence of plunder by UPDF adduced by DRC and not the illegalitie…",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587597069819906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mulongo77",1,TRUE,FALSE,NA,NA
"4","RT @bwesigye: The one who lost the DRC case before the ICJ is now speaking - Decision available at https://t.co/VYSJ9IWRxn #UGDebate16 #Uga…",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587597048803328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gfkkb",4,TRUE,FALSE,NA,NA
"5","Bwanika, bse of the citizenship problems, many people 4rm  neighbouring ctries are going 2 vote 2 decide d destiny of this ctry #UGDebate16",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587596046409728",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Navilani",0,FALSE,FALSE,NA,NA
"6","RT @RedPepperUG: I reject what Besigye said...we intervened in Congo to defend ourselves, We defeated UPDF - Museveni #UGDebate16 #UgandaDe…",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587595622715392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samkimuda",10,TRUE,FALSE,NA,NA
"7","RT @nbstv: Mbabazi: Democracy is free play of ideas. The military has no role in that process. #UGDebate16 https://t.co/wL3AxKi7WQ",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587595270443008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Diu2011",34,TRUE,FALSE,NA,NA
"8","ICJ decision was not based on legality of UPDF's involvement in DR Congo but plunder,  says Mbabazi #UGDebate16 #UGpresidentialdebate",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587595123617792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Misikotwits",0,FALSE,FALSE,NA,NA
"9","RT @UGPresDebate: @AmamaMbabazi :On the question of integration, I am for the current Govrt policy. #UGDebate16",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587595022929920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","boy_fishy_andre",9,TRUE,FALSE,NA,NA
"10","RT @AKforry7: Winnie's nod is my new way of life.
I was clapping but you know...now I have to be classy
Good work Besigye 

#UGDebate16",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587594871934976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JKyomugisha",5,TRUE,FALSE,NA,NA
"11","RT @PatohShanqueels: This is the debate We been waiting for 
the debate
Has started
Mabilizi came with the paraffin 
Now we have fire 
#UGD…",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587594532241408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ronnie_Ross_O",7,TRUE,FALSE,NA,NA
"12","RT @cceduganda: ""I cannot allow anyone to play around with the security of Uganda, when i am President"" @KagutaMuseveni #UGDebate16 https:/…",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587593592741889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NuwamanyaI",3,TRUE,FALSE,NA,NA
"13","Bwanika my man is speaking keep quiet #UGDebate16",FALSE,0,NA,2016-02-13 19:20:36,FALSE,NA,"698587593290739712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","kenny_mulindwa",0,FALSE,FALSE,NA,NA
"14","Nice question to Abed #citizenshipCalm response from Mr bwanika #UGDebate16",FALSE,0,NA,2016-02-13 19:20:35,FALSE,NA,"698587593131323393",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","SmashReggins92",0,FALSE,FALSE,NA,NA
"15","Amama Mbabazi's response on Congo has helped President YKM's submission #UGDebate16",FALSE,0,NA,2016-02-13 19:20:35,FALSE,NA,"698587589796823041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RSebuhinja",0,FALSE,FALSE,NA,NA
"16","Kyalya won't go down without a fight #UGDebate16",FALSE,0,NA,2016-02-13 19:20:35,FALSE,NA,"698587589738172417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SekiriwoA",0,FALSE,FALSE,NA,NA
"17","I will appoint U vice president,if I win. #KyalyaWalube seems 2 tell  #PresidentMuseveni #UgandaDecides #UGDebate16 https://t.co/hDbTFGBtoX",FALSE,0,NA,2016-02-13 19:20:35,FALSE,NA,"698587589482323968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Newzug",0,FALSE,FALSE,NA,NA
"18","RT @amgodiva: ""In defending our country, we must follow the laws and Constitution of our land."" Kizza Besigye #UGDebate16",FALSE,0,NA,2016-02-13 19:20:34,FALSE,NA,"698587588974739456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ekavuma",12,TRUE,FALSE,NA,NA
"19","RT @ULKampala: That awkward moment when you're watching the debate at your church and Mabirizi is standing next to you asking for 'volume' …",FALSE,0,NA,2016-02-13 19:20:34,FALSE,NA,"698587588442132480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","deejaychano",27,TRUE,FALSE,NA,NA
"20","RT @Wabwire1: I don't agree what Dr. @kizzabesigye1 said! We went to Congo to defend our selves as Ugandans! #UGDebate16 https://t.co/bIVJU…",FALSE,0,NA,2016-02-13 19:20:34,FALSE,NA,"698587587527753728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Ladacoda",2,TRUE,FALSE,NA,NA
"21","Amama Mbabazi and Museveni expose Besigye's lies. 

Let's go on #UGDebate16",FALSE,0,NA,2016-02-13 19:20:34,FALSE,NA,"698587586437234693",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eomongin",0,FALSE,FALSE,NA,NA
"22","Ugandan troops plundered Congo, the evidence suggested (can. Amama ). So where did the deployment go wrong? #UGDebate16",FALSE,0,NA,2016-02-13 19:20:34,FALSE,NA,"698587585082433536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MinNimaro",0,FALSE,FALSE,NA,NA
"23","Museveni: The Rwenzori region is secure, now candidate @kizzabesigye1 can freely go there en campaign @ubctvuganda #UGDebate16 @UGPresDebate",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587584398782464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","byiga",0,FALSE,FALSE,NA,NA
"24","RT @nbstv: Besigye: I recognise the role and duty of leader to defend the country but in doing so, they must follow the constitution. #UGDe…",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587584298139649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","visiblepolls",7,TRUE,FALSE,NA,NA
"25","RT @Daniel_Finnan: #UgandaDecides: Nobody can play around with security of #Uganda when I'm president, says #Museveni. #UGdebate16",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587584247816192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rugori_S",4,TRUE,FALSE,NA,NA
"26","RT @Opiaiya: First time I am hearing that the Congo invasion was preventive and in self-defense #UGDebate16",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587584008757248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GSsalie",14,TRUE,FALSE,NA,NA
"27","RT @nbstv: Besigye: I recognise the role and duty of leader to defend the country but in doing so, they must follow the constitution. #UGDe…",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587583400509441",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","mukssteven",7,TRUE,FALSE,NA,NA
"28","RT @skaheru: .@KagutaMuseveni “Insecurity is ideological - pple who believe in sectarianism of religion &amp; tribe will generate insecurity.” …",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587582628757505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mutoni3sandra",9,TRUE,FALSE,NA,NA
"29","Indeed @AmamaMbabazi we lost the case bse of UPDF plunder. The unconstitutional military intervention is now a burden 2 Ugandans #UGDebate16",FALSE,0,NA,2016-02-13 19:20:33,FALSE,NA,"698587581999673344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sakika",0,FALSE,FALSE,NA,NA
