"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Maureen Kyalya: In  fact H.E .@KagutaMuseveni has offered to be my senior advisor when I become president. #UGDebate16",FALSE,0,NA,2016-02-13 20:58:38,FALSE,NA,"698612265776455680",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ntvuganda",2,FALSE,FALSE,NA,NA
"2","#UGDebate16 candidate Besigye; we must have relevant and quality education.",FALSE,0,NA,2016-02-13 20:58:38,FALSE,NA,"698612265667399680",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mbaleke",0,FALSE,FALSE,NA,NA
"3","""If NRM 'FAIRLY' wins the elections""...Kyalya #UGDebate16",FALSE,0,NA,2016-02-13 20:58:38,FALSE,NA,"698612265118003202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yvonne_vanita",0,FALSE,FALSE,NA,NA
"4","RT @nbstv: Kyalya says President Museveni has already offered to be her senior presidential advisor if she wins #UGDebate16 https://t.co/UZ…",FALSE,0,NA,2016-02-13 20:58:38,FALSE,NA,"698612264534962176",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","aeft111",12,TRUE,FALSE,NA,NA
"5","RT @RugyendoQuotes: M7: ""The British looked for Oil btn 1920 &amp; 1956, wrote a report that there was no oil. The report is in the Ministry of…",FALSE,0,NA,2016-02-13 20:58:38,FALSE,NA,"698612264207826944",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UgandaTalks",1,TRUE,FALSE,NA,NA
"6","OK.....someone tell me what Kyalya meant there..?????
#UGDebate16",FALSE,0,NA,2016-02-13 20:58:38,FALSE,NA,"698612264140730368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EDWARDAGABA3",0,FALSE,FALSE,NA,NA
"7","RT @d_zhowoff: Get Bwanika and Biraro into cabinet. 

Thank you: 

#UGDebate16",FALSE,0,NA,2016-02-13 20:58:37,FALSE,NA,"698612261070487557",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muhamyapius",15,TRUE,FALSE,NA,NA
"8","RT @NSsebagala: Buganda Road is Mabirizi your OB?

 #UGDebate16",FALSE,0,NA,2016-02-13 20:58:37,FALSE,NA,"698612260680425473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KAMUSIMEWILFRED",5,TRUE,FALSE,NA,NA
"9","RT @SarahBireete: #UGDebate16 @KagutaMuseveni says oil laws were passed by a multiparty parliament but Ugandans recall he had to camp there…",FALSE,0,NA,2016-02-13 20:58:36,FALSE,NA,"698612258981728256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mpagiofugnada",1,TRUE,FALSE,NA,NA
"10","Moreen: President @KagutaMuseveni has offered to be my senior presidential advisor.
#UGDebate16 @UGPresDebate #UgandaDecides",FALSE,0,NA,2016-02-13 20:58:36,FALSE,NA,"698612258176438272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","campusvibeug",0,FALSE,FALSE,NA,NA
