"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @nbstv: Museveni: Problem with this debate is that we don't have enough time to exhaust the many points raised #UGDebate16 https://t.co/‚Ä¶",FALSE,0,NA,2016-02-13 19:54:31,FALSE,NA,"698596130532282368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KanyesigyeJames",23,TRUE,FALSE,NA,NA
"2","Ugandans in Diaspora. That is a great Point Abed.
#UGDebate16 
#UgandaDecides",FALSE,1,NA,2016-02-13 19:54:31,FALSE,NA,"698596130305789952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kedikebba",0,FALSE,FALSE,NA,NA
"3","Uganda, Kenya and US lead in tweeting about the #UGDebate16 based on 2500 tweets https://t.co/4C6zz5xq7E",FALSE,0,NA,2016-02-13 19:54:31,FALSE,NA,"698596129768919040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewkabala",0,FALSE,FALSE,NA,NA
"4","@AbedBwanika: I want to overhaul the foreign policy. #UGDebate16 @upfya_org @YCEDemocracy @nbstv @UgoUganda @ntvuganda @wbstvug @rizalewis",FALSE,0,"AbedBwanika",2016-02-13 19:54:31,FALSE,NA,"698596128846188551","4102740016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bbosaflex",0,FALSE,FALSE,NA,NA
"5","Museveni not really satisfied with @AbedBwanika's comments on Power dams @UGPresDebate #UGDebate16",FALSE,0,NA,2016-02-13 19:54:31,FALSE,NA,"698596128695128065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","byiga",0,FALSE,FALSE,NA,NA
"6","RT @PatohShanqueels: Ì†ΩÌ∏Ç 
But seriously 
The qns are not fairly awarded 

I rarely see Bwanika &amp;
Baryamureeba 
#UGDebate16",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596128481275904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","derrickdk2",3,TRUE,FALSE,NA,NA
"7","Bwanika is always talking fiction. From implanting chips into cattle to tracking Ugandans in the foreign countries #UGDebate16",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596128296693760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhuli_8",0,FALSE,FALSE,NA,NA
"8",".@AbedBwanika: We need to
address the issue of energy
regarding building more
capacity &amp; checking tariffs. #
UGDebate16",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596127659130886",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","MRUHISTORIANS",0,FALSE,FALSE,NA,NA
"9","RT @DailyMonitor: ""There is need to reduce our taxes a little bit"" @MabiriziEJ #UGDebate16",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596126870663168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BethMakyeme",5,TRUE,FALSE,NA,NA
"10","#UGDebate16 #Bwanika.. Kenyans are smarter people..  They are taking over Uganda",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596126799355904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Risbond",0,FALSE,FALSE,NA,NA
"11","Bwanika: Energy is not about reducing tariffs but also building capacity in terms of generation. We must complete Karuma. #UGDebate16",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596126556078080",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Umarbuyondo",0,FALSE,FALSE,NA,NA
"12","RT @nbstv: Museveni: The (EAC) federation is about the two words: prosperity of our people and security #UGDebate16",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596126069497856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KanyesigyeJames",7,TRUE,FALSE,NA,NA
"13","RT @nbstv: Museveni: The issue about integration is about two things: prosperity of our people through production and strategic security #U‚Ä¶",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596126069493760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KanyesigyeJames",12,TRUE,FALSE,NA,NA
"14","#UGDebate16 @AbedBwanika Thanks for your statistical evidence on Power consumption around the globe but your #SpeechTone is Quite heavy",FALSE,0,NA,2016-02-13 19:54:30,FALSE,NA,"698596125322977281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NansinguzaJ",0,FALSE,FALSE,NA,NA
"15","RT @SMSMediaUganda: Barya - ""We need to ensure missions are empowered to handle issues that arise without making enquiries with Kampala."" #‚Ä¶",FALSE,0,NA,2016-02-13 19:54:29,FALSE,NA,"698596123586490368",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","PeterFr43417414",2,TRUE,FALSE,NA,NA
"16","RT @NSsebagala: I yam here with Mabirizi. I promised him a big minister when he doesnt come.

 #mabiliziSaysHowareyou
 #UGDebate16",FALSE,0,NA,2016-02-13 19:54:29,FALSE,NA,"698596121065689090",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssewaalinathan",17,TRUE,FALSE,NA,NA
"17","RT @nbstv: Mabirizi: There's a need 4 our taxes 2 reduce a bit in order to allow more trade &amp; investment in Uganda #UGDebate16 https://t.co‚Ä¶",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596119148957696",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","katerega1",9,TRUE,FALSE,NA,NA
"18","RT @AbedBwanika: @AbedBwanika we must build more dams cheaply so as to increase production for better international trade
#UGDebate16",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596118188400640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KerryRoggers",4,TRUE,FALSE,NA,NA
"19","Same sentiments here #UGDebate16  https://t.co/PK4cfMKfSZ",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596118003847170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bobbyspliff",0,FALSE,FALSE,NA,NA
"20","FOR REAL INDEED #UGDebate16  https://t.co/LcrwEepepa",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596117852856320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","malumaxposed",0,FALSE,FALSE,NA,NA
"21","Did Blanka just add a ministerial post Ì†ΩÌ∏¨#UGDebate16",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596117211168768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minge7th",0,FALSE,FALSE,NA,NA
"22","RT @SsemujjuNganda: Hardly any questions from Shaka Ssali. Our money. #UGDebate16 #UgandaDecides",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596116934365184",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","jbatuuka",32,TRUE,FALSE,NA,NA
"23","RT @AKforry7: Venasius will teach airport guys how to code...then Mabirizi will export them to facebook.

We alright
#UGDebate16",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596116833660928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","royharold",10,TRUE,FALSE,NA,NA
"24","RT @mbwenu_nyowe: Sevo has released a lot of campaign stress... good job Mabreezy... #topowa #UGDebate16",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596116783370240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ernray",3,TRUE,FALSE,NA,NA
"25","We need to go to Kenya and build hotels as Ugandans #UGDebate16",FALSE,0,NA,2016-02-13 19:54:28,FALSE,NA,"698596116531642368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gilbertdaniels",0,FALSE,FALSE,NA,NA
"26","RT @nbstv: Besigye says a lot of the integration talk is among the leaders and not the East Africans themselves #UGDebate16 https://t.co/NX‚Ä¶",FALSE,0,NA,2016-02-13 19:54:27,FALSE,NA,"698596115160174593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KanyesigyeJames",20,TRUE,FALSE,NA,NA
