"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AbedBwanika: Uganda should pull out of the @ICC &amp; @ICC should empower Africa build a justice system in Africa
#UGDebate16",FALSE,0,NA,2016-02-13 18:44:15,FALSE,NA,"698578446813949952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KanyesigyeJames",7,TRUE,FALSE,NA,NA
"2","RT @RaymondLukwago: Ugandans begging officials to allow Mabirizi on stage like #UGDebate16 https://t.co/fxTQOxa6Oq",FALSE,0,NA,2016-02-13 18:44:15,FALSE,NA,"698578446797185024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KimraTricia",18,TRUE,FALSE,NA,NA
"3","RT @Opiaiya: Moderators sound so scripted &amp; policed It must be the consensus behind the debate organizers. #UGDebate16",FALSE,0,NA,2016-02-13 18:44:15,FALSE,NA,"698578445819895809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MugabiIan",24,TRUE,FALSE,NA,NA
"4","RT @RedPepperUG: YES We should be out of ICC - Museveni #UGDebate16  #UgandaDecides",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578445052350464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","susandeshushye",5,TRUE,FALSE,NA,NA
"5","RT @violetkwm: Why did M7 miss this last timeÌ†ΩÌ∏ïÌ†ΩÌ∏ï....He knws his things.#UGDebate16 Ì†ΩÌ∏äÌ†ΩÌ∏äÌ†ΩÌ∏ä",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578444783853569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MujuziEmmaK",1,TRUE,FALSE,NA,NA
"6","@AbedBwanika: I would like to commend the men and women in UPDF a job well done #UGDebate16 #UgandaDecides",FALSE,0,"AbedBwanika",2016-02-13 18:44:14,FALSE,NA,"698578444347711489","4102740016","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bertha_ayee",0,FALSE,FALSE,NA,NA
"7","RT @912CroozeFM: #UGDebate16 #CroozefmNews Museveni ""The other time i did not come becoz i was far away and had qns abt the method of debat‚Ä¶",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578444200906752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","galerafjm1",11,TRUE,FALSE,NA,NA
"8","RT @fsnakazibwe: Muzeeyi wants an African Criminal Court....he thinks whites have a different agenda....#UGDebate16",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578442841931776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnnie_MarshaL",7,TRUE,FALSE,NA,NA
"9","RT @mpozii: Zablon never killed a man, the beer did.  #UGDebate16",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578442263117825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MujuziEmmaK",1,TRUE,FALSE,NA,NA
"10","Dr Shaka Ssali should be given more chance to ask questions instead of just filling and warming the seat. 
#UGDebate16",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578442225324033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WinneBelle",0,FALSE,FALSE,NA,NA
"11","RT @Far_Uganda: Mbabazi: Homeless kids on streets are the revolutionaries of our society. There is great danger that our youth are unemploy‚Ä¶",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578441751412736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kishwitty",3,TRUE,FALSE,NA,NA
"12","We convened at @882sanyufm to follow the #ugdebate16 cc; @crystalanewman @dj_pita https://t.co/fYK2ZdzGDH",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578441667530752",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","iamogutudaudi",0,FALSE,FALSE,NA,NA
"13","RT @SMSMediaUganda: .@AbedBwanika on presence in Somalia - ""I salute men in uniform for the work well done."" #UGDebate16",FALSE,0,NA,2016-02-13 18:44:14,FALSE,NA,"698578441462030336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssendijjahd",7,TRUE,FALSE,NA,NA
"14","RT @rukenken1: #UGDebate16  so its not zabloni but the beer inside him that killed wanainchi... So they shot zabloni M7",FALSE,0,NA,2016-02-13 18:44:13,FALSE,NA,"698578438848978951",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RelationOne5",1,TRUE,FALSE,NA,NA
